Iteration,Total Error,Test Error,Retroactive Error
69,0.17447935064425987,0.17735119268090765,8.813498008208853e-05
70,0.17143134637212915,0.1743065948783681,7.561702865999109e-05
71,0.1686296712518948,0.17151067818110216,0.0005620560090804361
72,0.15126290968123496,0.15389456801305096,0.0006259609292227353
73,0.11416664027683009,0.11618867810240369,0.000139546005628155
74,0.10803500279185801,0.10998232886253319,1.9465600654910986e-05
75,0.10613973013796096,0.10808621787093967,0.00014069838887076358
76,0.092157414646326,0.0938764422133793,1.8540974554337453e-05
77,0.09016620283480511,0.09187644920098835,5.7800347620151626e-05
78,0.08756777286768536,0.08925630234382281,9.177810841531908e-06
79,0.08759365863350588,0.08928268725268197,3.919557006870633e-05
80,0.08759365863350588,0.08928268725268197,0.00012291773794981253
81,0.08682572428685403,0.08852730627623866,3.713229682578145e-05
82,0.0845899219675489,0.0862743687309491,8.878447335103345e-06
83,0.08269258628247741,0.08436535829974659,2.8049639188232334e-05
84,0.08059222688358618,0.08224797873147947,8.129938027678918e-05
85,0.0772955732244013,0.07890804447432002,0.0003241901485893095
86,0.0692308460737312,0.07069699626542239,0.0006839048871327691
87,0.057018410205202846,0.0582439974944321,9.695613017868254e-05
88,0.05840952756181846,0.059683543156180185,0.0001009825682842802
89,0.05711953984054928,0.05838355281617498,1.8466589068566464e-05
90,0.05694342283870675,0.058221633794490454,2.618831299017188e-05
91,0.055713094945010505,0.056981409481075634,2.374157140749844e-05
92,0.05453162037709687,0.05579039971367122,0.00017548082193030723
93,0.050734809102312706,0.051922112167318374,0.00010028202339551484
94,0.04959024254615817,0.050766577785939036,0.00011653560851243583
95,0.04959443594046835,0.05077087065265615,0.00011653230737351805
96,0.04723261030457849,0.04836809941937169,2.5548315829126977e-05
97,0.04625064231275101,0.047377304495002555,8.50516075736607e-05
98,0.04445173207326863,0.045548791227945,3.013580453536946e-05
99,0.04240438001816196,0.04346448705614456,6.602133328570403e-05
100,0.04100090814894697,0.042039067587656444,2.173979621655775e-05
101,0.03939155153676165,0.04040159660564559,6.045854746528079e-05
102,0.03875787755010965,0.039764118165991534,5.546371341580425e-05
103,0.03764993473143165,0.038639509977403494,1.0673800207250395e-05
104,0.03645436022136738,0.03742423753935042,4.698966962735085e-05
105,0.03551597602497737,0.036472322390655586,0.00020549606955633237
106,0.033268065541622205,0.03417460309430445,3.192058179735113e-05
